./raw\950.html,https://www.snopes.com/fact-check/msnbc-graphic-bernie-sanders/,An infographic of 2020 Democratic presidential candidates that aired on MSNBC excluded U.S. Sen. Bernie Sanders.,True,Politics
./raw\4352.html,https://www.snopes.com/fact-check/call-police-new-guinea-flatworm/,A recent invasion of New Guinea Flatworms in Florida poses a significant risk to human health and a sighting of this non-native animal should be reported to authorities by calling 911.,False,Medical
./raw\2363.html,https://www.snopes.com/fact-check/jacob-zuma-aircraft/,President Zuma of South Africa purchased the world's most expensive plane.,False,Politics
./raw\3120.html,https://www.snopes.com/fact-check/plan-launches-to-make-obama-addition-to-mount-rushmore/,The likeness of President Obama will be added to Mount Rushmore.,False,Politics
./raw\4052.html,https://www.snopes.com/fact-check/desk-job/,"Photograph shows President Obama ""desecrating"" the Oval Office by unprecedentedly placing his feet on his desk.",False,Politics
./raw\616.html,https://www.snopes.com/fact-check/obamas-buy-home-depot/,Barack and Michelle Obama bought a controlling interest in the Home Depot chain of home improvement stores.,False,Politics
./raw\2137.html,https://www.snopes.com/fact-check/was-niger-attack-worse-than-benghazi/,The killing of four U.S. soldiers in an October 2017 ambush by Islamic militants in Niger was far worse a debacle than the 2012 attack on U.S. diplomatic facilities in Benghazi.,False,Politics
./raw\5313.html,https://www.snopes.com/fact-check/sagging-pants/,The fashion of sagging one's pants was born of a prison mode of signaling sexual availability.,False,Crime
./raw\3890.html,https://www.snopes.com/fact-check/cola-increases/,"Congress will not allow Social Security recipients to get a COLA increase, while Obamacare raises the cost of Medicare premiums.",False,Politics
./raw\5183.html,https://www.snopes.com/fact-check/are-thieves-stealing-license-plates-in-a-carjacking-scheme/,"A new trend in carjacking involves the theft of your license plates by robbers who later lure you into a carjacking by pretending they ""found"" your tags.",False,Crime
./raw\392.html,https://www.snopes.com/fact-check/domain-thing/,Companies choose domain names with unintendedly risqué double meanings.,True,Business
./raw\4214.html,https://www.snopes.com/fact-check/china-hospital-10-days/,The Chinese government is building a hospital in 10 days to deal with the new coronavirus.,True,Medical
./raw\3126.html,https://www.snopes.com/fact-check/sanders-voter-suppression-ny/,"New York voters will be turned away from the polls if they wear shirts endorsing specific candidates, and polling hours have been deliberately shortened to suppress primary votes.",False,Politics
./raw\3269.html,https://www.snopes.com/fact-check/sperm-switch-invention-market/,A new male contraception product allows a man to control the flow of sperm by flicking a switch.,False,Politics
./raw\90.html,https://www.snopes.com/fact-check/hobby-lobby-coronavirus/,"Hobby Lobby CEO David Green is refusing to close stores during the COVID-19 pandemic because his wife, Barbara, received a message from God saying that employees would be kept safe.",False,Business
./raw\2982.html,https://www.snopes.com/fact-check/barack-obama-accomplishments/,"A list of some of President Obama's economic accomplishments shows all he has done, even hampered by political obstructionism.",True,Politics
./raw\1499.html,https://www.snopes.com/fact-check/texas-voter-id-names-women/,Texas' photo ID law means voters whose photo ID name doesn't match their birth certificate name must bring marriage and divorce documents to the polls.,False,Politics
./raw\3231.html,https://www.snopes.com/fact-check/sanders-dethrone-god-tweet/,"Senator Bernie Sanders wrote on Twitter that he wanted to destroy capitalism and ""dethrone God.""",False,Politics
./raw\3382.html,https://www.snopes.com/fact-check/scott-walker-labor-day/,Wisconsin governor Scott Walker said that Labor Day should be replaced with Patriots Day.,False,Politics
./raw\1133.html,https://www.snopes.com/fact-check/judges-agree-barr-indict-clinton/,A panel of 16 judges concluded that U.S. Attorney General William Barr has enough evidence to indict Hillary Clinton and Barack Obama on conspiracy charges.,False,Politics
./raw\3478.html,https://www.snopes.com/fact-check/john-kerry-iranian-son-law/,U.S. Secretary of State John Kerry hide a close familial connection to an Iranian official with whom he negotiated a nuclear deal.,False,Politics
./raw\2898.html,https://www.snopes.com/fact-check/trump-did-not-donate-to-nambla/,Donald Trump won't release his tax returns because they reveal that he has donated millions of dollars to the North American Man/Boy Love Association.,False,Politics
./raw\1513.html,https://www.snopes.com/fact-check/sarah-jeong-leukemia-tweet/,"Journalist Sarah Jeong once tweeted that every time she sees a ""bald white kid"" she secretly hopes ""he had leukemia.""",False,Politics
./raw\2834.html,https://www.snopes.com/fact-check/hillary-clinton-told-seventeen-magazine-she-didnt-want-her-daughter-marrying-a-black-man/,Hillary Clinton said that she would be 'disappointed' if her daughter Chelsea married a black man.,False,Politics
./raw\2197.html,https://www.snopes.com/fact-check/osteen-yacht-houston-book-hurricane/,"Joel Osteen sailed through flooded Houston distributing copies of his book ""Your Best Life Now.""",False,Politics
./raw\1107.html,https://www.snopes.com/fact-check/gun-deaths-d-day/,"By 6 March, the number of gun-related deaths in the U.S. in 2019 had surpassed the total number of U.S. combatant deaths on D-Day.",True,Politics
./raw\1163.html,https://www.snopes.com/fact-check/trump-new-high-school-text/,"A new high school textbook describes U.S. President Donald Trump as ""mentally ill"" and his supporters as racist.",False,Politics
./raw\4978.html,https://www.snopes.com/fact-check/california-college-students-castrating-trumps-wall/,Two college students have vowed to remove their own penises to protest a planned U.S.-Mexico border wall.,False,College
./raw\742.html,https://www.snopes.com/fact-check/student-donate-college-fund-bernie/,"A Berkeley student pledged his entire college-savings fund to Bernie Sanders' 2020 presidential campaign ""because education will be free when he’s elected.""",False,Politics
./raw\36.html,https://www.snopes.com/fact-check/facebook-paying-spies/,Instructions explain how to block Facebook users who are following you without your knowledge.,False,Technology
./raw\4474.html,https://www.snopes.com/fact-check/expired-cake-mix/,Expired boxes of cake and pancake mix are dangerously toxic.,False,Food
./raw\791.html,https://www.snopes.com/fact-check/noah-feldman-jeffrey-epstein/,Harvard Law Professor Noah Feldman is the nephew of Jeffrey Epstein.,False,Politics
./raw\5112.html,https://www.snopes.com/fact-check/251-mass-shootings-in-us/,The United States had 251 mass shootings during the first 216 days of 2019.,False,Crime
./raw\1558.html,https://www.snopes.com/fact-check/kavanaugh-accuser-soros-ties/,"Kavanaugh accuser Deborah Ramirez has ""ties"" to billionaire philanthropist George Soros.",False,Politics
./raw\4976.html,https://www.snopes.com/fact-check/wku-black-students-free/,Western Kentucky University will give black students free tuition as part of a program of reparations for slavery,False,College
./raw\5158.html,https://www.snopes.com/fact-check/sexual-assault-pre-existing/,Rape would be designated a pre-existing condition under the American Health Care Act.,False,Crime
./raw\3022.html,https://www.snopes.com/fact-check/democrat-white-house-nba/,Democratic presidential candidates have only won the White House in years that an Eastern Conference team has also won the NBA Championship.,True,Politics
./raw\1732.html,https://www.snopes.com/fact-check/immigrant-girl-never-separated/,News media outlets misrepresented a photograph of a two-year-old migrant girl whose mother was arrested at the U.S-Mexico border as depicting an instance of family separation.,False,Politics
./raw\5175.html,https://www.snopes.com/fact-check/murder-rate-highest-in-47-years/,"As of February 2017, the U.S. murder rate was the highest it had been in 47 years.",False,Crime
./raw\1410.html,https://www.snopes.com/fact-check/hockey-pucks-shooting-defense/,Students and faculty at Oakland University were given hockey pucks to use in the event of a mass shooting attack.,True,Politics
./raw\1874.html,https://www.snopes.com/fact-check/italian-economist-removed-terrorism/,"Guido Menzio, an Italian economist, was removed from a plane because a fellow passenger thought the math problems he was working on looked suspicious.",True,Politics
./raw\826.html,https://www.snopes.com/fact-check/girls-shower-with-boys-ruling/,"In 2019, a U.S. District Court judge ruled that girls in an Illinois school district ""must shower with boys"" and had no right to privacy.",False,Politics
./raw\4045.html,https://www.snopes.com/fact-check/walmart-immigration-raids/,WalMart has authorized U.S. law enforcement to enter its stores and arrest any illegal immigrants found within.,False,Politics
./raw\2684.html,https://www.snopes.com/fact-check/changing-early-votes/,"After FBI Director Jim Comey announced that he was reviewing e-mails potentially linked to Hillary Clinton, several states announced that they were allowing people to change their early votes.",False,Politics
./raw\2078.html,https://www.snopes.com/fact-check/moore-accuser-yearbook/,"Roy Moore accuser Beverly Young Nelson ""forged"" Moore's signature and inscription in her high school yearbook.",False,Politics
./raw\4028.html,https://www.snopes.com/fact-check/obama-dog-airplane/,"The Obamas had their dog, Bo, flown on his own airplane to join them on vacation.",False,Politics
./raw\2499.html,https://www.snopes.com/fact-check/report-vermont-power-grid-infiltrated-by-russian-hackers/,A computer infected by malware proved a Vermont power company has been targeted for disruption by Russian hackers.,False,Politics
./raw\4866.html,https://www.snopes.com/fact-check/category-7-harvey-irma/,The 2005 movie Category 7: The End of the World predicted the arrival of hurricanes named Harvey and Irma.,False,Science
./raw\2796.html,https://www.snopes.com/fact-check/nypd-officer-caught-raping-girl/,A New York City police officer was caught on camera raping a teenage girl.,False,Crime
./raw\2999.html,https://www.snopes.com/fact-check/alton-sterling-killed-trump-supporter-robert-kinnison/,Alton Sterling was shot and killed by Louisiana police officer (and Donald Trump supporter) Robert Kinnison.,False,Crime
./raw\3263.html,https://www.snopes.com/fact-check/cargo-ships-atlantic-map/,For the first time in history the North Atlantic is empty of cargo ships in-transit.,False,Politics
./raw\4831.html,https://www.snopes.com/fact-check/pyramid-location-speed-light/,The Great Pyramid of Giza’s location is linked to the speed of light.,False,Science
./raw\2372.html,https://www.snopes.com/fact-check/huckabee-son-dog/,The son of former Arkansas governor Mike Huckabee once killed a dog at Boy Scout camp.,False,Politics
./raw\3184.html,https://www.snopes.com/fact-check/trump-supporters-pro-slavery/,Nearly 20 percent of Donald Trump’s voters disagreed with the freeing of slaves in Southern states after the Civil War.,False,Politics
./raw\2638.html,https://www.snopes.com/fact-check/janet-reno-donald-trump-never/,"Former Attorney General Janet Reno said ""Donald Trump will never be president in my lifetime.""",False,Politics
./raw\750.html,https://www.snopes.com/fact-check/vermont-cell-phones/,The state of Vermont made it illegal to own a cellphone for anyone under age 21.,False,Politics
./raw\4975.html,https://www.snopes.com/fact-check/the-unsolvable-math-problem/,A student mistook examples of unsolved statistics problems for  a homework assignment and solved them.,True,College
./raw\2727.html,https://www.snopes.com/fact-check/trump-traffic-accusations/,"Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls.",False,Politics
./raw\1758.html,https://www.snopes.com/fact-check/iowa-congressman-retweet-white-supremacist/,Rep. Steve King (R-Iowa) retweeted a post by a known white supremacist.,True,Politics
./raw\1016.html,https://www.snopes.com/fact-check/eu-jewish-products-labels/,"In the summer of 2019, based on advice from an advocate general, the European Court of Justice was set to require ""Jewish-made"" products to be labeled as such.",False,Politics
./raw\2189.html,https://www.snopes.com/fact-check/patriot-picnic-at-chicano-park/,"Pro-Donald Trump activists were accosted by a ""violent mob"" while eating pizza at a Chicano Park.",False,Politics
./raw\2353.html,https://www.snopes.com/fact-check/sour-honey-cure-cancer/,"There is a proven natural cure for cancer called sour honey, but pharmaceutical companies and politicians are trying to keep it under wraps for financial gain.",False,Politics
./raw\4322.html,https://www.snopes.com/fact-check/colgate-total-triclosan/,"In June 2017, the FDA announced it would be banning the use of triclosan in various products, including Colgate Total.",False,Medical
./raw\1002.html,https://www.snopes.com/fact-check/census-form-with-citizenship-question/,"A meme shows the current U.S. census form, which includes a question about the citizenship of respondents.",False,Politics
./raw\2748.html,https://www.snopes.com/fact-check/hillary-sand-wikileaks-dump/,"Hillary Clinton called Muslims ""sand n*ggers"" in an email leaked by Wikileaks.",False,Politics
./raw\718.html,https://www.snopes.com/fact-check/republican-senators-up-shits-creek/,"Republican senators were overheard saying they were ""up shit's creek"" in regards to impeachment proceedings.",False,Politics
./raw\2286.html,https://www.snopes.com/fact-check/emmanuel-macron-us-liberals-refugee-status-france/,Emmanuel Macron offered American liberals refugee status in France,False,Politics
./raw\3450.html,https://www.snopes.com/fact-check/president-obama-69-alaska/,A photograph shows President Obama posing next to a 69 or 420 mile marker.,False,Business
./raw\4138.html,https://www.snopes.com/fact-check/pelosi-jet-use/,"House Speaker Nancy Pelosi routinely used a ""big fat 200-seat jet"" to travel between California and D.C.",False,Politics
./raw\3687.html,https://www.snopes.com/fact-check/rick-scott-shelter-dog/,Florida governor Rick Scott adopted a rescue dog during his campaign and returned it once he was elected.,False,Politics
./raw\2401.html,https://www.snopes.com/fact-check/kentucky-bill-wives-permission-viagra/,A 2016 bill before the Kentucky legislature would have required men to get their wives' permission before obtaining a prescription for Viagra or other erectile dysfunction drug.,True,Politics
./raw\1371.html,https://www.snopes.com/fact-check/don-lemon-terror-threat/,"CNN host Don Lemon said ""the biggest terror threat in this country is white men.""",True,Politics
./raw\4199.html,https://www.snopes.com/fact-check/cristina-higgins-coronavirus-post/,Cristina Higgins authored a personal account about the spread of COVID-19 in Italy.,True,Medical
./raw\1490.html,https://www.snopes.com/fact-check/texas-voting-machines-party-switching/,Voting machines in Texas are changing voters' selections to the opposite party's candidate in a U.S. Senate race.,False,Politics
./raw\2379.html,https://www.snopes.com/fact-check/letter-to-general-motors/,"The president of Knox Machinery wrote a letter to the president of General Motors, criticizing the latter for seeking a government bailout.",True,Politics
./raw\3295.html,https://www.snopes.com/fact-check/donald-trump-fake-tweet/,"Donald Trump tweeted that his ""grandparents didn't come to America"" to see the country taken over by immigrants.",False,Politics
./raw\5221.html,https://www.snopes.com/fact-check/multiple-shooters-orlando-cody-agnew/,"The media is covering up that ""multiple shooters"" were involved in the mass killing at an Orlando nightclub.",False,Crime
./raw\370.html,https://www.snopes.com/fact-check/wares-the-beef/,McDonald's is importing foreign beef for use in its restaurants in the United States and Canada.,False,Business
./raw\2036.html,https://www.snopes.com/fact-check/melania-michelle-mlk-message/,Melania Trump plagiarized a portion of a speech delivered by Michelle Obama in 2016 for her tweet commemorating Martin Luther King Day in 2018.,False,Politics
./raw\904.html,https://www.snopes.com/fact-check/trump-letter-to-erdogan-turkey/,"U.S. President Trump sent Turkish President Recep Tayyip Erdogan a letter urging him, ""Don't be a fool!""",True,Politics
./raw\4221.html,https://www.snopes.com/fact-check/male-birth-control-testing-stopped/,Male birth control testing in India was stopped after men's testicles started exploding.,False,Medical
./raw\3106.html,https://www.snopes.com/fact-check/nike-elephant-shoes-rumor/,Nike makes their sneakers with elephant skins.,False,Business
./raw\1827.html,https://www.snopes.com/fact-check/donald-trump-lincoln-success/,A meme reproduces Donald Trump's explanation of why Abraham Lincoln succeeded as a president.,True,Politics
./raw\5570.html,https://www.snopes.com/fact-check/ice-cream-registration-notice/,"A few years after a couple of kids used a made-up name to sign up for a free yearly ice cream cone, they received a Selective Service registration notice for their non-existent friend.",True,Military
./raw\3882.html,https://www.snopes.com/fact-check/campaign-contributions/,The bulk of donations to the 2008 Obama campaign came from a handful of wealthy foreign financiers.,False,Politics
./raw\4881.html,https://www.snopes.com/fact-check/dangerous-cosmic-gamma-rays/,"Dangerous cosmic rays will pass near Earth tonight, causing bodily harm if you keep personal electronics near you.",False,Science
./raw\3286.html,https://www.snopes.com/fact-check/samuel-l-jackson-shooter-crazy-white-dude/,"Actor Samuel L. Jackson said he hoped that the San Bernardino shooter was just some ""crazy white dude.""",True,Politics
./raw\5128.html,https://www.snopes.com/fact-check/can-police-legally-rape-people-35-states/,"In 35 states, it's legal for police officers to have sex with unconsenting detainees.",False,Crime
./raw\2481.html,https://www.snopes.com/fact-check/lewis-skip-inauguration/,President-elect Donald Trump's inauguration will be the first presidential inauguration that Rep. John Lewis has skipped.,False,Politics
./raw\3319.html,https://www.snopes.com/fact-check/ps-169-pledge-allegiance-holiday-ban-controversy/,"PS 169 Principal Eujin Jaela Kim banned the Pledge of Allegiance, Santa, and Thanksgiving.",False,Politics
./raw\940.html,https://www.snopes.com/fact-check/did-ilhan-omar-spit-on-the-tomb-of-the-unknown-soldier/,U.S. Rep. Ilhan Omar spit on the Tomb of the Unknown Soldier.,False,Politics
./raw\2819.html,https://www.snopes.com/fact-check/kenyan-mistake/,A Certified Registration of Birth issued in Kenya documents that Barack Obama was born in that country.,False,Politics
./raw\1215.html,https://www.snopes.com/fact-check/meme-german-occupied-poland-1944-us-2018/,A meme accurately compares the treatment of foreign children by Germany in 1944 and the U.S. in 2018.,False,Politics
./raw\696.html,https://www.snopes.com/fact-check/clog-iowa-caucus-phones/,Internet trolls attempted to disrupt the Iowa caucuses by flooding the phone lines where caucus managers called in results.,True,Politics
./raw\4200.html,https://www.snopes.com/fact-check/drinking-water-prevent-coronavirus/,Taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs.,False,Medical
./raw\4691.html,https://www.snopes.com/fact-check/cpr-annie/,The face of the CPR training mannequin was modeled after the deceased daughter of the doctor who invented it.,False,Medical
./raw\2917.html,https://www.snopes.com/fact-check/green-party-state-ballots/,"Jill Stein, the Green Part's presidential candidate, is not yet on the ballot in every state.",True,Politics
./raw\4258.html,https://www.snopes.com/fact-check/can-amputees-take-their-limb-home/,People who undergo amputations can sign paperwork allowing them to take the removed limbs home after the procedure.,False,Medical
./raw\3141.html,https://www.snopes.com/fact-check/prescott-college-mandatory-immigrant-fee/,Arizona's Prescott College is forcing students to pay a $30 fee for an undocumented immigrant scholarship fund.,False,Politics
./raw\3056.html,https://www.snopes.com/fact-check/california-to-jail-climate-change-skeptics/,"California legislators have made it illegal for anyone to deny climate change, under threat of jail time.",False,Politics
./raw\178.html,https://www.snopes.com/fact-check/does-luxottica-own-80-of-the-eyeglass-industry/,"Luxottica controls 80 percent of eyewear brands, several major optometry chains, and the second-largest vision care insurer.",False,Business
./raw\1416.html,https://www.snopes.com/fact-check/obama-trump-american-dream/,Barack Obama once wrote that becoming Donald Trump was the American dream.,False,Politics
./raw\3878.html,https://www.snopes.com/fact-check/phone-home/,The Obama administration created a program to provide free cell phones to welfare recipients.,False,Politics
./raw\3092.html,https://www.snopes.com/fact-check/trey-gowdy-admitted-benghazi/,"During a Fox News appearance, Select Committee on Benghazi Chairman Trey Gowdy ""accidentally admitted"" that troops would not have been able to reach the four Americans killed in time to intervene.",True,Politics
./raw\2703.html,https://www.snopes.com/fact-check/putin-gives-obama-ultimatum/,"Putin issued an ultimatum to President Obama to stop ""smearing"" Russia, or risk starting World War III.",False,Politics
./raw\3160.html,https://www.snopes.com/fact-check/germany-bans-pork-under-sharia-law/,Germany has banned pork from school canteens because it offends Muslim 'migrants.',False,Politics
./raw\2816.html,https://www.snopes.com/fact-check/chelsea-clintons-apartment-is-actually-a-hospital/,Chelsea Clinton's home is actually a medical care facility for Hillary Clinton in order to more effectively hide and treat her health problems.,False,Politics
./raw\1830.html,https://www.snopes.com/fact-check/schools-removing-analog-clocks/,Schools are removing analog clocks because students no longer know how to tell time.,False,Politics
./raw\2568.html,https://www.snopes.com/fact-check/wisconsin-recount-observers-find-voting-machines-broken-seals/,Recount observers in Wisconsin discovered voting machines seals had been compromised after the 2016 general election.,False,Politics
./raw\3810.html,https://www.snopes.com/fact-check/the-miselucidation-of-lauryn-hill/,"During an MTV interview, singer Lauryn Hill said: ""I would rather die than have a white person buy one of my albums.""",False,Business
./raw\3293.html,https://www.snopes.com/fact-check/asteroid-christmas-eve/,An asteroid will hit earth on Christmas Eve.,False,Politics
./raw\250.html,https://www.snopes.com/fact-check/mister-880/,Law enforcement's search for a prolific counterfeiter of one-dollar bills lasted ten years.,True,Business
./raw\497.html,https://www.snopes.com/fact-check/al-gores-energy-use/,Al Gore's residence uses considerably more energy than the average American home.,False,Business
./raw\1969.html,https://www.snopes.com/fact-check/gun-manufacturers-crimes-products/,Gun manufacturers have legal immunity from being sued for crimes committed with the weapons or ammunition they sell.,True,Politics
./raw\768.html,https://www.snopes.com/fact-check/eric-trump-tweet-iran-strike/,Eric Trump tweeted about the airstrike that killed Iran Gen. Qassem Soleimani in early 2020 before the military operation took place.,False,Politics
./raw\1157.html,https://www.snopes.com/fact-check/sean-penn-moves-to-venezuela/,"U.S. actor Sean Penn said ""[Venezuela President Nicolas] Maduro is way better than Trump, any day, no question about it ... If Trump wins again, I'm moving my family to Venzuela where they'll be safe!""",False,Politics
./raw\5232.html,https://www.snopes.com/fact-check/never-throw-boarding-pass/,"Thieves can obtain your home address, banking details, e-mail address, phone number, and other personal details from discarded boarding passes.",False,Crime
./raw\738.html,https://www.snopes.com/fact-check/al-baghdadi-low-risk/,"Barack Obama said he released future ISIS leader al-Baghdadi from custody because he deemed the captive to be ""low-risk.""",False,Politics
./raw\5137.html,https://www.snopes.com/fact-check/seven-witnesses-to-vegas-shooting-died-suspicious/,"Seven ""key witnesses"" to the 1 October 2017 mass shooting in Las Vegas have suspiciously died in a cover-up.",False,Politics
./raw\2879.html,https://www.snopes.com/fact-check/donald-trump-punched-teacher/,Donald Trump wrote in 'The Art of the Deal' that he punched out his second grade music teacher.,False,Politics
./raw\3529.html,https://www.snopes.com/fact-check/american-pharaoh-released-wild/,Owner Ahmed Zayat has released Triple Crown winner American Pharaoh into the wild.,False,Politics
./raw\3393.html,https://www.snopes.com/fact-check/cdc-admits-98-million-got-cancer-polio-vaccine/,"The CDC quietly removed pages from their web site that admitted a link between Simian Virus 40 (SV40), the polio vaccine, and cancer.",False,Politics
